"accession_number","year","cik","ticker","name","value","order_in_soi","level_in_soi","weight"
"0001551152-21-000008",2020,"1551152","ABBV","NetIncomeLoss",4616000000.00,0,0,0
"0001551152-21-000008",2020,"1551152","ABBV","ProfitLoss",4622000000.00,1,1,1
"0001551152-21-000008",2020,"1551152","ABBV","IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments",3398000000.00,2,2,1
"0001551152-21-000008",2020,"1551152","ABBV","OperatingIncomeLoss",11363000000.00,3,3,1
"0001551152-21-000008",2020,"1551152","ABBV","CostsAndExpenses",34441000000.00,4,4,-1
"0001551152-21-000008",2020,"1551152","ABBV","CostOfGoodsAndServicesSold",15387000000.00,5,5,1
"0001551152-21-000008",2020,"1551152","ABBV","SellingGeneralAndAdministrativeExpense",11299000000.00,6,5,1
"0001551152-21-000008",2020,"1551152","ABBV","ResearchAndDevelopmentExpenseExcludingAcquiredInProcessCost",6557000000.00,7,5,1
"0001551152-21-000008",2020,"1551152","ABBV","ResearchAndDevelopmentAssetAcquiredOtherThanThroughBusinessCombinationWrittenOff",1198000000.00,8,5,1
"0001551152-21-000008",2020,"1551152","ABBV","OtherOperatingIncomeExpenseNet",0.00,9,5,-1
"0001551152-21-000008",2020,"1551152","ABBV","Revenues",45804000000.00,10,4,1
"0001551152-21-000008",2020,"1551152","ABBV","InterestIncomeExpenseNonoperatingNet",-2280000000.00,11,3,1
"0001551152-21-000008",2020,"1551152","ABBV","ForeignCurrencyTransactionGainLossBeforeTax",-71000000.00,12,3,1
"0001551152-21-000008",2020,"1551152","ABBV","OtherNonoperatingIncomeExpense",-5614000000.00,13,3,1
"0001551152-21-000008",2020,"1551152","ABBV","IncomeTaxExpenseBenefit",-1224000000.00,14,2,-1
"0001551152-21-000008",2020,"1551152","ABBV","NetIncomeLossAttributableToNoncontrollingInterest",6000000.00,15,1,-1
"0001564590-21-029314",2021,"815094","ABMD","NetIncomeLoss",225525000.00,0,0,0
"0001564590-21-029314",2021,"815094","ABMD","IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest",288220000.00,1,1,1
"0001564590-21-029314",2021,"815094","ABMD","OperatingIncomeLoss",229557000.00,2,2,1
"0001564590-21-029314",2021,"815094","ABMD","RevenueFromContractWithCustomerExcludingAssessedTax",847522000.00,3,3,1
"0001564590-21-029314",2021,"815094","ABMD","CostsAndExpenses",617965000.00,4,3,-1
"0001564590-21-029314",2021,"815094","ABMD","CostOfGoodsAndServicesSold",161907000.00,5,4,1
