"accession_number","year","cik","ticker","revenue","cost_of_revenue","gross_profit","operating_expenses","other_operating_income_expense","operating_income","pretax_income","eps_basic","eps_diluted"
"0001558370-21-000737",2020,"66740","MMM",32184000000,80000000,32104000000,8418000000,0,7161000000,6711000000,0,0
"0000091142-21-000025",2020,"91142","AOS",2895300000,1787100000,1108200000,0,0,503200000,443900000,0,0
"0001104659-21-025751",2020,"1800","ABT",34608000000,15003000000,19605000000,0,0,5357000000,4968000000,0,0
"0001551152-21-000008",2020,"1551152","ABBV",45804000000,15387000000,30417000000,0,0,11363000000,3398000000,0,0
"0001564590-21-029314",2021,"815094","ABMD",847522000,161907000,685615000,456058000,0,229557000,288220000,0,0
"0001467373-21-000229",2021,"1467373","ACN",50533389000,34169261000,16364128000,0,0,7621529000,7761116000,0,0
"0001628280-21-002828",2020,"718877","ATVI",8086000000,705000000,7381000000,4647000000,0,2734000000,2616000000,0,0
"0000796343-22-000032",2021,"796343","ADBE",15785000000,1865000000,13920000000,8118000000,0,5802000000,5705000000,0,0
"0001158449-21-000036",2021,"1158449","AAP",10106321000,5624707000,4481614000,0,0,749907000,651015000,0,0
"0000874761-21-000015",2020,"874761","AES",9660000000,6967000000,2693000000,0,0,0,-192000000,0,0
"0000004977-21-000047",2020,"4977","AFL",22147000000,0,0,498000000,0,4416000000,4159000000,0,0
"0001090872-21-000027",2021,"1090872","A",6319000000,2912000000,3407000000,0,0,1347000000,1360000000,0,0
"0001104659-21-025742",2020,"5272","AIG",43736000000,0,0,0,0,0,-7293000000,0,0
"0000002969-21-000055",2021,"2969","APD",10323000000,7186100000,1492900000,0,0,2281400000,2507400000,0,0
"0001086222-21-000075",2020,"1086222","AKAM",3198149000,1132672000,2065477000,1406943000,0,658534000,616082000,0,0
"0000766421-21-000018",2020,"766421","ALK",3566000000,0,0,5341000000,0,-1775000000,-1840000000,0,0
"0000915913-21-000018",2020,"915913","ALB",3128909000,2134056000,994853000,0,0,505812000,373519000,0,0
"0001035443-22-000040",2021,"1035443","ARE",2114150000,0,0,0,0,0,0,0,0
"0001097149-21-000007",2020,"1097149","ALGN",2471941000,708706000,1763235000,1376064000,0,387171000,378949000,0,0
"0001579241-21-000020",2020,"1579241","ALLE",2719900000,1541100000,1178800000,-74600000,0,403500000,365400000,0,0
"0000352541-21-000022",2020,"352541","LNT",3416000000,449000000,376000000,0,0,740000000,567000000,0,0
"0000899051-21-000011",2020,"899051","ALL",44791000000,0,0,0,0,0,0,0,0
"0001652044-22-000019",2021,"1652044","GOOGL",257637000000,110939000000,146698000000,67984000000,0,78714000000,90734000000,0,0
